name,path,metadata,baseline_accuracy,mft_accuracy,accuracy_change,detrimental_params,detrimental_percentage,params_zeroed,zeroed_percentage
baseline_50pct,models/baseline/checkpoint_50pct_baseline,{},0.4954128440366973,0.4908256880733945,-0.00458715596330278,40063813,36.792365379574385,400639,0.367924452755091
fft_60pct,models/fft_checkpoints/checkpoint_60pct,{},0.6055045871559633,0.4908256880733945,-0.11467889908256884,39885406,36.628526367789014,398855,0.36628612692132273
fft_75pct,models/fft_checkpoints/checkpoint_75pct,{},0.7798165137614679,0.4908256880733945,-0.2889908256880734,40515876,37.207514758156655,405159,0.37207536798414514
fft_85pct,models/fft_checkpoints/checkpoint_85pct,{},0.8646788990825688,0.4908256880733945,-0.3738532110091743,42085787,38.64923322677603,420858,0.38649245165249035
fft_90pct,models/fft_checkpoints/checkpoint_90pct,{},0.9036697247706422,0.5091743119266054,-0.3944954128440368,41499137,38.11048667387236,414992,0.3811054452954923
