name,path,metadata,baseline_accuracy,mft_accuracy,accuracy_change,detrimental_params,detrimental_percentage,params_zeroed,zeroed_percentage
baseline_50pct,models/baseline/checkpoint_50pct_baseline,"{'accuracy': 0.48863636363636365, 'type': 'baseline'}",0.4954128440366973,0.5091743119266054,0.013761467889908174,40086411,36.8131181190315,10021603,9.203279759343895
fft_60pct,models/fft_checkpoints/checkpoint_60pct,"{'accuracy': 0.6041666666666666, 'target': 0.6, 'epoch': 0, 'step': 300}",0.6055045871559633,0.4908256880733945,-0.11467889908256884,39759164,36.512592774792054,9939791,9.128148193698014
fft_75pct,models/fft_checkpoints/checkpoint_75pct,"{'accuracy': 0.7777777777777778, 'target': 0.75, 'epoch': 0, 'step': 450}",0.7798165137614679,0.5091743119266054,-0.27064220183486243,40581020,37.26733936472336,10145255,9.31683484118084
fft_85pct,models/fft_checkpoints/checkpoint_85pct,"{'accuracy': 0.8657407407407407, 'target': 0.85, 'epoch': 0, 'step': 550}",0.8646788990825688,0.4908256880733945,-0.3738532110091743,41982195,38.55410012712821,10495549,9.638525261368072
fft_90pct,models/fft_checkpoints/checkpoint_90pct,"{'accuracy': 0.9050925925925926, 'target': 0.9, 'epoch': 0, 'step': 1000}",0.9036697247706422,0.4908256880733945,-0.41284403669724773,41564261,38.17029291355752,10391066,9.542573917147438
